STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,statinfo,Statistical information,unit,Unit of measure,isced11,International Standard Classification of Education (ISCED 2011),sex,Sex,age,Age class,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,Y18-64,From 18 to 64 years,CH,Switzerland,2017,,38963,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,Y18-64,From 18 to 64 years,CH,Switzerland,2018,,38207,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,Y18-64,From 18 to 64 years,CH,Switzerland,2019,,35700,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,Y18-64,From 18 to 64 years,CH,Switzerland,2020,,36874,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,Y18-64,From 18 to 64 years,CH,Switzerland,2021,,40292,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,Y18-64,From 18 to 64 years,CH,Switzerland,2022,,38496,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,Y18-64,From 18 to 64 years,CH,Switzerland,2023,,44282,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,Y18-64,From 18 to 64 years,CH,Switzerland,2024,,44758,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,Y18-64,From 18 to 64 years,CY,Cyprus,2016,,12608,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,Y18-64,From 18 to 64 years,CY,Cyprus,2017,,12802,,,,,
